institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
UNIVERSITY-OF-MASSACHUSETTS-BOSTON,national-universities,UMass University of Massachusetts Boston,MA,Boston,02125,,True,public,,#216,216,True,24,,81,37211,3.4,2.9,,12221,2.7,1080,,1080-1300,24-29
UNIVERSITY-OF-MASSACHUSETTS-DARTMOUTH,national-universities,UMass University of Massachusetts Dartmouth,MA,North Dartmouth,02747,,True,public,,#209,209,True,22,24,96,30992,3.3,2.2,,5517,2.8,1020,37927.0,1020-1260,22-31
UNIVERSITY-OF-MASSACHUSETTS-LOWELL,national-universities,UMass University of Massachusetts Lowell,MA,Lowell,01854,,True,public,,#159,159,True,25,5,86,35396,3.7,2.4,,12391,2.7,1170,33531.0,1170-1360,25-31
UNIVERSITY-OF-MEMPHIS,national-universities,,TN,Memphis,38152,,True,public,,#269,269,True,17,,95,18024,3.4,2.1,,16708,2.8,930,,930-1230,17-24
UNIVERSITY-OF-MIAMI,national-universities,,FL,Coral Gables,33124,,True,private,,#67,67,True,30,36,19,59926,3.8,2.5,,12504,3.4,1310,42535.0,1310-1480,30-33
UNIVERSITY-OF-MICHIGAN-ANN-ARBOR,national-universities,UM University of Michigan Ann Arbor,MI,Ann Arbor,48109,,True,public,,#21,21,False,31,30,18,57273,3.9,4.5,,32695,4.5,1350,39242.0,1350-1530,31-34
UNIVERSITY-OF-MICHIGAN-DEARBORN,regional-universities-midwest,UM University of Michigan Dearborn,MI,Dearborn,48128,midwest,True,public,,#17,17,True,22,,54,31360,3.7,2.1,,6116,2.5,1010,,1010-1290,22-28
UNIVERSITY-OF-MICHIGAN-FLINT,national-universities,UM University of Michigan Flint,MI,Flint,48502,,True,public,,#390,390,True,20,,66,25830,3.5,2.4,,4609,2.2,930,,930-1220,20-28
UNIVERSITY-OF-MINNESOTA-CROOKSTON,regional-colleges-midwest,University of Minnesota Crookston,MN,Crookston,56716,midwest,True,public,,#32,32,True,,,59,12412,,,,2303,,,,N/A,N/A
UNIVERSITY-OF-MINNESOTA-DULUTH,regional-universities-midwest,University of Minnesota Duluth,MN,Duluth,55812,midwest,True,public,,#21,21,True,22,37,81,19762,3.5,3.0,,8810,2.5,1120,26405.0,1120-1350,22-28
UNIVERSITY-OF-MINNESOTA-MORRIS,national-liberal-arts-colleges,University of Minnesota Morris,MN,Morris,56267,,True,public,,#130,130,True,,,78,16438,3.3,,,1068,,,,N/A,N/A
UNIVERSITY-OF-MINNESOTA-TWIN-CITIES,national-universities,University of Minnesota Twin Cities,MN,Minneapolis,55455,,True,public,,#53,53,True,27,22,75,36402,,3.7,,39248,3.8,1290,39798.0,1290-1500,27-32
UNIVERSITY-OF-MISSISSIPPI,national-universities,Ole Miss,MS,University,38677,,True,public,,#163,163,True,22,28,97,26980,3.6,2.2,,17302,3.0,1030,32311.0,1030-1220,22-29
UNIVERSITY-OF-MISSOURI,national-universities,Mizzou,MO,Columbia,65211,,True,public,,#124,124,True,23,42,79,34322,,2.5,,23752,3.1,1140,31609.0,1140-1340,23-30
UNIVERSITY-OF-MISSOURI-KANSAS-CITY,national-universities,UMKC University of Missouri Kansas City,MO,Kansas City,64110,,True,public,,#269,269,True,21,,69,30734,3.5,2.7,,10190,2.7,1245,,1245-1550,21-30
UNIVERSITY-OF-MISSOURI-ST.-LOUIS,national-universities,University of Missouri St. Louis,MO,St. Louis,63121,,True,public,,#260,260,True,20,,51,31516,3.4,2.6,,12431,2.7,1040,,1040-1210,20-26
UNIVERSITY-OF-MOBILE,regional-universities-south,,AL,Mobile,36613,south,True,private,,#76,76,True,21,,84,26120,3.6,,,1845,,1115,,1115,21-27
UNIVERSITY-OF-MONTANA,national-universities,UMT,MT,Missoula,59812,,True,public,,#361,361,True,19,,95,31622,3.3,,,7215,2.6,1080,,1080-1278,19-26
UNIVERSITY-OF-MONTANA-WESTERN,regional-colleges-west,University of Montana Western,MT,Dillon,59725,west,True,public,,#23,23,True,16,49,37,18961,3.3,,,1424,,870,28609.0,870-1210,16-23
UNIVERSITY-OF-MONTEVALLO,regional-universities-south,,AL,Montevallo,35115,south,True,public,,#20,20,False,19,43,60,26730,3.6,,,2172,2.1,970,21274.0,970-1200,19-26
UNIVERSITY-OF-MOUNT-OLIVE,regional-universities-south,,NC,Mount Olive,28365,south,True,private,,#78,78,False,16,,83,23591,,,,2085,,990,,990-1150,16-21
UNIVERSITY-OF-MOUNT-UNION,regional-universities-midwest,,OH,Alliance,44601,midwest,True,private,,#32,32,True,19,74,76,35400,3.5,2.1,,1889,,960,25581.0,960-1180,19-26
UNIVERSITY-OF-NEBRASKA-AT-KEARNEY,regional-universities-midwest,University of Nebraska Kearney,NE,Kearney,68849,midwest,True,public,,#29,29,False,19,45,86,15920,3.6,,,4269,2.1,1000,20224.0,1000-1200,19-25
UNIVERSITY-OF-NEBRASKA-LINCOLN,national-universities,University of Nebraska Lincoln,NE,Lincoln,68588,,True,public,,#159,159,True,22,36,79,27748,3.6,2.7,,19189,3.3,1110,31540.0,1110-1340,22-28
UNIVERSITY-OF-NEBRASKA-MEDICAL-CENTER,special-focus-research,,NE,Omaha,68198,,True,public,,Unranked,-2,False,,,,33890,,,,936,,,,N/A,N/A
UNIVERSITY-OF-NEBRASKA-OMAHA,national-universities,University of Nebraska Omaha,NE,Omaha,68182,,True,public,,#304,304,True,18,,86,21718,3.5,,,12026,2.6,,,N/A,18-26
UNIVERSITY-OF-NEVADA-LAS-VEGAS,national-universities,UNLV University of Nevada Las Vegas,NV,Las Vegas,89154,,True,public,,#269,269,True,18,,85,26099,3.4,2.3,,25365,2.7,1000,,1000-1220,18-24
UNIVERSITY-OF-NEVADA-RENO,national-universities,University of Nevada Reno,NV,Reno,89557,,True,public,,#195,195,True,19,26,86,25950,3.4,2.4,,16973,2.4,1060,38958.0,1060-1300,19-26
UNIVERSITY-OF-NEW-ENGLAND,national-universities,UNE,ME,Biddeford,04005,,True,private,,#260,260,True,,,96,42550,3.4,,,3718,,,,N/A,N/A
UNIVERSITY-OF-NEW-HAMPSHIRE,national-universities,UNH,NH,Durham,03824,,True,public,,#115,115,True,26,64,87,38882,3.6,2.3,,11480,2.9,1120,36092.0,1120-1320,26-31
UNIVERSITY-OF-NEW-HAMPSHIRE-AT-MANCHESTER,national-liberal-arts-colleges,,NH,Manchester,03102,,True,public,,#146,146,True,,,83,34664,,,,653,,1110,,1110-1270,N/A
UNIVERSITY-OF-NEW-HAVEN,regional-universities-north,,CT,West Haven,06516,north,True,private,,#87,87,True,,,91,45730,3.4,2.7,,4817,2.3,1090,,1090-1270,N/A
UNIVERSITY-OF-NEW-MEXICO,national-universities,,NM,Albuquerque,87131,,True,public,,#236,236,True,18,,96,26452,3.4,2.6,,15914,2.8,,,N/A,18-25
UNIVERSITY-OF-NEW-ORLEANS,national-universities,,LA,New Orleans,70148,,True,public,,#394-435,-1,False,17,,70,14190,3.2,< 2.0,,5804,2.4,940,,940-1197,17-24
UNIVERSITY-OF-NORTH-ALABAMA,regional-universities-south,,AL,Florence,35632,south,True,public,,#33,33,True,19,25,75,23150,3.6,,,7492,2.2,925,30573.0,925-1223,19-26
UNIVERSITY-OF-NORTH-CAROLINA-ASHEVILLE,national-liberal-arts-colleges,UNC University of North Carolina Asheville,NC,Asheville,28804,,True,public,,#139,139,True,21,,74,24809,3.5,2.4,,2914,2.0,1140,,1140-1330,21-28
UNIVERSITY-OF-NORTH-CAROLINA-AT-CHAPEL-HILL,national-universities,UNC University of North Carolina Chapel Hill,NC,Chapel Hill,27599,,True,public,,#22,22,True,30,28,17,39338,,3.0,,20210,4.2,1350,22109.0,1350-1530,30-34
UNIVERSITY-OF-NORTH-CAROLINA-AT-GREENSBORO,national-universities,UNC University of North Carolina Greensboro,NC,Greensboro,27402,,True,public,,#216,216,True,22,1,92,22539,3.6,,,14198,2.7,1110,29849.0,1110-1280,22-27
UNIVERSITY-OF-NORTH-CAROLINA-CHARLOTTE,national-universities,UNC University of North Carolina Charlotte,NC,Charlotte,28223,,True,public,,#178,178,True,20,27,80,21338,3.6,2.4,,23461,3.0,1070,31947.0,1070-1290,20-26
UNIVERSITY-OF-NORTH-CAROLINA-PEMBROKE,regional-universities-south,UNC University of North Carolina Pembroke,NC,Pembroke,28372,south,True,public,,#45,45,True,16,,90,7496,3.5,,,5643,2.0,935,,935-1095,16-21
UNIVERSITY-OF-NORTH-CAROLINA-SCHOOL-OF-THE-ARTS,specialty-arts,,NC,Winston-Salem,27127,,True,public,,Unranked,-2,False,,,30,26622,,,,938,,,,N/A,N/A
UNIVERSITY-OF-NORTH-CAROLINA-WILMINGTON,national-universities,UNC University of North Carolina Wilmington,NC,Wilmington,28403,,True,public,,#201,201,True,24,5,69,22985,3.9,,,14294,2.4,1220,37969.0,1220-1370,24-29
